Altium Designer Pick and Place Locations
D:\EE\BMS\BSU\Documents\BSU-Gerber\Pick Place for BSU.csv

========================================================================================================================
File Design Information:

Date:       23/01/24
Time:       15:20
Revision:   8410d753c935477811da1067914176d371dc9eec
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R92","10","BottomLayer","1210_SMD_R","220.3000","36.6000","90","1210 SMD Resistor"
"R59","100","TopLayer","0603_SMD_R","220.3000","35.9000","90","0603 SMD Resistor"
"R106","1k","BottomLayer","0603_SMD_R","189.5000","60.0000","270","0603 SMD Resistor"
"R105","51","BottomLayer","0603_SMD_R","191.8000","59.2000","180","0603 SMD Resistor"
"R104","51","BottomLayer","0603_SMD_R","191.8000","60.8000","180","0603 SMD Resistor"
"R103","51","BottomLayer","0603_SMD_R","237.3000","61.8000","180","0603 SMD Resistor"
"R102","51","BottomLayer","0603_SMD_R","237.3000","60.2000","180","0603 SMD Resistor"
"R101","1k","BottomLayer","0603_SMD_R","234.5000","61.0000","270","0603 SMD Resistor"
"C142","220p","BottomLayer","0603_SMD_C","190.3000","58.0000","180","0603 SMD Capacitor"
"C141","220p","BottomLayer","0603_SMD_C","190.3000","62.0000","180","0603 SMD Capacitor"
"C140","2.2n","BottomLayer","0603_SMD_C","194.8000","59.2000","180","0603 SMD Capacitor"
"C139","2.2n","BottomLayer","0603_SMD_C","194.8000","60.8000","180","0603 SMD Capacitor"
"C138","2.2n","BottomLayer","0603_SMD_C","240.3000","61.8000","180","0603 SMD Capacitor"
"C137","2.2n","BottomLayer","0603_SMD_C","240.3000","60.2000","180","0603 SMD Capacitor"
"C136","220p","BottomLayer","0603_SMD_C","235.3000","59.0000","180","0603 SMD Capacitor"
"C135","220p","BottomLayer","0603_SMD_C","235.3000","63.0000","180","0603 SMD Capacitor"
"R100","30","TopLayer","0805_SMD_R","212.5500","66.0000","0","0805 SMD Resistor"
"R99","30","TopLayer","0805_SMD_R","167.5500","66.5000","0","0805 SMD Resistor"
"R98","10","BottomLayer","1210_SMD_R","203.5000","36.6000","90","1210 SMD Resistor"
"R97","10","TopLayer","1210_SMD_R","206.3000","36.6000","90","1210 SMD Resistor"
"R96","10","BottomLayer","1210_SMD_R","209.1000","36.6000","90","1210 SMD Resistor"
"R95","10","TopLayer","1210_SMD_R","211.9000","36.6000","90","1210 SMD Resistor"
"R94","10","BottomLayer","1210_SMD_R","214.7000","36.6000","90","1210 SMD Resistor"
"R93","10","TopLayer","1210_SMD_R","217.5000","36.6000","90","1210 SMD Resistor"
"R91","10","TopLayer","1210_SMD_R","223.1000","36.6000","90","1210 SMD Resistor"
"R90","10","BottomLayer","1210_SMD_R","225.9000","36.6000","90","1210 SMD Resistor"
"R89","10","TopLayer","1210_SMD_R","228.7000","36.6000","90","1210 SMD Resistor"
"R88","10","BottomLayer","1210_SMD_R","231.5000","36.6000","90","1210 SMD Resistor"
"R87","10","TopLayer","1210_SMD_R","234.3000","36.6000","90","1210 SMD Resistor"
"R86","10","BottomLayer","1210_SMD_R","237.1000","36.6000","90","1210 SMD Resistor"
